name,way_id,lat,lon,way_border
Công viên Hòa Bình,208188482,21.065209452941176,105.7867164,"[(21.0643737, 105.7847858), (21.0642701, 105.78489), (21.0641385, 105.7849941), (21.0628558, 105.7858127), (21.0628312, 105.7877419), (21.0628247, 105.7878782), (21.0627816, 105.7895028), (21.0630382, 105.7897831), (21.0649569, 105.7898118), (21.0650839, 105.7897851), (21.0680359, 105.7860323), (21.0679559, 105.7858754), (21.0679478, 105.7858608), (21.0678101, 105.7856126), (21.0677214, 105.7855471), (21.0675613, 105.7854793), (21.0643737, 105.7847858)]"
Công viên Nghĩa Đô,208197731,21.04105087,105.79649520333334,"[(21.0396186, 105.7974113), (21.039055, 105.7969135), (21.0390079, 105.7961152), (21.03927, 105.7956049), (21.0392637, 105.7947553), (21.0394319, 105.794752), (21.0402977, 105.79461), (21.0415467, 105.7945816), (21.0415513, 105.7947226), (21.0418688, 105.7952399), (21.042026, 105.7953741), (21.0427477, 105.7965787), (21.0427096, 105.7966251), (21.0426289, 105.7966264), (21.0423256, 105.7966313), (21.0423275, 105.7964424), (21.0419026, 105.7964375), (21.0418954, 105.7971595), (21.0423202, 105.7971644), (21.042319, 105.797387), (21.0421764, 105.7973878), (21.0421063, 105.7973882), (21.0409051, 105.7973958), (21.0406677, 105.7973973), (21.0406134, 105.7973354), (21.0405277, 105.7973365), (21.0404319, 105.7973377), (21.0401988, 105.7973393), (21.0401661, 105.7973941), (21.0396186, 105.7974113)]"
Công viên Bắc Linh Đàm,217341345,20.967163396153847,105.82774067692307,"[(20.9682294, 105.8295654), (20.9686274, 105.8288407), (20.968631, 105.8284209), (20.9682873, 105.8278839), (20.9678519, 105.8272459), (20.9673631, 105.8267306), (20.9670498, 105.8264346), (20.966946, 105.8263621), (20.9665739, 105.8262525), (20.9650299, 105.8258802), (20.9649448, 105.82593), (20.9649535, 105.8261671), (20.9650784, 105.8265517), (20.9655187, 105.8266337), (20.9659625, 105.8267603), (20.9665592, 105.8269968), (20.9669204, 105.8272585), (20.9672964, 105.827621), (20.9678473, 105.8284797), (20.9679865, 105.8287511), (20.9680331, 105.8288881), (20.9680169, 105.829018), (20.9681283, 105.8293818), (20.9680798, 105.8297955), (20.9681034, 105.8298421), (20.9682294, 105.8295654)]"
Vườn hoa Hàng Trống,218414273,21.02730482222222,105.84955623333333,"[(21.0275441, 105.8490174), (21.0277568, 105.8499374), (21.0271785, 105.8501549), (21.0270959, 105.8500849), (21.0271084, 105.8497979), (21.0271485, 105.8494787), (21.0272111, 105.8494117), (21.027156, 105.8491058), (21.0275441, 105.8490174)]"
Pomelo Park,316013412,21.07672406,105.79930242,"[(21.0768525, 105.7992558), (21.0767591, 105.7994808), (21.0765314, 105.7993724), (21.0766248, 105.7991473), (21.0768525, 105.7992558)]"
Pineapple Park,316013428,21.0777915,105.79657029999998,"[(21.0779028, 105.7965251), (21.0777112, 105.7964324), (21.0776245, 105.7966381), (21.0778162, 105.7967308), (21.0779028, 105.7965251)]"
Vườn hoa Bác Cổ,316518839,21.025296288,105.859409108,"[(21.0255298, 105.8593148), (21.0255138, 105.8592967), (21.0254951, 105.8592839), (21.0254732, 105.8592769), (21.025448, 105.8592803), (21.0254223, 105.8592904), (21.0253799, 105.8593132), (21.0253534, 105.8593195), (21.025312, 105.8593202), (21.0250816, 105.8593002), (21.0250573, 105.8593102), (21.025038, 105.8593255), (21.0250182, 105.8593491), (21.0250083, 105.8593801), (21.0250105, 105.859421), (21.0250658, 105.8597056), (21.0250843, 105.8597313), (21.0251148, 105.8597455), (21.0251423, 105.8597395), (21.0251771, 105.8597121), (21.0255293, 105.8594107), (21.02554, 105.8593886), (21.0255436, 105.8593627), (21.0255388, 105.8593349), (21.0255298, 105.8593148)]"
Vườn hoa Thạch Bàn,384671191,21.028586703448276,105.91102837586207,"[(21.029656, 105.9129167), (21.0297664, 105.9128447), (21.0299926, 105.9123888), (21.030398, 105.9113892), (21.0299993, 105.9110392), (21.0292957, 105.9105995), (21.0291249, 105.9104236), (21.0288284, 105.9100001), (21.0287664, 105.9099103), (21.0287061, 105.9098924), (21.0286324, 105.9098942), (21.0285, 105.9099283), (21.0281767, 105.9100611), (21.0280544, 105.9101383), (21.0278249, 105.9102944), (21.0274899, 105.9104272), (21.027443, 105.9104541), (21.0274229, 105.9104972), (21.0273843, 105.9108256), (21.0274245, 105.9111648), (21.0274564, 105.9112564), (21.0275251, 105.9113102), (21.0280276, 105.9115955), (21.0280929, 105.9115955), (21.0284112, 105.9117696), (21.0289272, 105.9110069), (21.0292538, 105.9112725), (21.0287774, 105.9120099), (21.029656, 105.9129167)]"
Công viên Trung Tâm,384671209,21.037626976190477,105.90540899047619,"[(21.0380333, 105.9056446), (21.0374939, 105.906795), (21.0374437, 105.9068363), (21.0364356, 105.9062807), (21.0371175, 105.9048637), (21.0372664, 105.9047787), (21.0374223, 105.9047428), (21.037501, 105.9047338), (21.0375245, 105.9047392), (21.0375312, 105.9048092), (21.0375563, 105.9049797), (21.0375848, 105.9051197), (21.0376283, 105.9052148), (21.0377071, 105.9053512), (21.0378377, 105.905432), (21.0379399, 105.9054517), (21.0379952, 105.9054948), (21.0380287, 105.9055271), (21.0380404, 105.9055468), (21.0380454, 105.9056024), (21.0380333, 105.9056446)]"
An Duong Tennis Courts,479019015,21.054992116666668,105.84025266666667,"[(21.0549971, 105.8399381), (21.0545943, 105.8401991), (21.0548921, 105.8407295), (21.055303, 105.8404895), (21.0551691, 105.8402217), (21.0549971, 105.8399381)]"
Viglacera Community Park,479832644,21.01752867826087,105.95103578260868,"[(21.0190107, 105.9523291), (21.0188586, 105.9524944), (21.0187017, 105.9526217), (21.0184619, 105.9527035), (21.0181335, 105.9527349), (21.0178768, 105.9526782), (21.0158493, 105.9510117), (21.0156709, 105.9507489), (21.0155765, 105.9503818), (21.0155956, 105.9500747), (21.015706, 105.9497138), (21.0158826, 105.9494875), (21.0160655, 105.9493316), (21.0163372, 105.9492223), (21.0166203, 105.9492171), (21.0169327, 105.949285), (21.0171782, 105.9494193), (21.0190007, 105.9510089), (21.0191696, 105.9513041), (21.0192214, 105.951666), (21.0191895, 105.9518952), (21.0191097, 105.9521642), (21.0190107, 105.9523291)]"
Công viên Thanh Xuân,497037748,21.00259107777778,105.79669131111112,"[(21.0001013, 105.7968461), (21.0029537, 105.7945154), (21.0031254, 105.7945096), (21.0036559, 105.795232), (21.0042079, 105.7960006), (21.0053217, 105.7976083), (21.0023761, 105.799975), (21.0014764, 105.7986887), (21.0001013, 105.7968461)]"
Giếng Trọng Thủy,497328755,21.111631477777777,105.87115048888887,"[(21.112014, 105.8713254), (21.1120741, 105.8711967), (21.1120741, 105.8709767), (21.1120541, 105.8708104), (21.111964, 105.8707327), (21.1118239, 105.8706495), (21.1116662, 105.8705798), (21.1115061, 105.8706388), (21.1112784, 105.8708024), (21.1111007, 105.8710036), (21.1109982, 105.871194), (21.1109781, 105.8713737), (21.1109931, 105.8715132), (21.1110257, 105.8715937), (21.1118389, 105.8717626), (21.111989, 105.8717036), (21.111974, 105.8715266), (21.112014, 105.8713254)]"
Phim trường Smiley Ville,500736455,21.095187314285713,105.87407961428572,"[(21.0948907, 105.873249), (21.0939414, 105.8766558), (21.0950347, 105.8769283), (21.0963061, 105.8726313), (21.0957806, 105.8724223), (21.095467, 105.8734216), (21.0948907, 105.873249)]"
Công viên Ngoại giao Đoàn,523643145,21.064965666666673,105.79610391333334,"[(21.065978, 105.7973148), (21.0659764, 105.7954609), (21.06544, 105.7939979), (21.0653133, 105.7939131), (21.064025, 105.7939064), (21.0639322, 105.7940242), (21.0639319, 105.7952679), (21.0641858, 105.7960302), (21.0641915, 105.7973308), (21.0642892, 105.7973997), (21.0648624, 105.7973996), (21.0651345, 105.7973995), (21.0653624, 105.7973995), (21.0658844, 105.7973994), (21.065978, 105.7973148)]"
Vườn hoa Nguyễn Trãi,542382168,20.97272198,105.78158318666668,"[(20.9711734, 105.7823912), (20.971699, 105.7828102), (20.9718196, 105.7828365), (20.9719884, 105.7827257), (20.9737233, 105.7812804), (20.9742634, 105.7807746), (20.9742677, 105.7807334), (20.9742727, 105.7806589), (20.9741451, 105.7805905), (20.9735021, 105.780816), (20.9728392, 105.7810869), (20.9724206, 105.781255), (20.9719497, 105.7815352), (20.9715921, 105.7818621), (20.9711734, 105.7823912)]"
Vườn hoa Hà Đông,542382170,20.973155083333335,105.77947226666667,"[(20.9731248, 105.7790847), (20.9729831, 105.7791684), (20.9726925, 105.7793608), (20.9732836, 105.7802222), (20.9737217, 105.7799128), (20.9731248, 105.7790847)]"
Công Viên A Khu Chung Cư Vân Canh,548066437,21.04115715,105.73281586666667,"[(21.0414689, 105.7322591), (21.041471, 105.7333921), (21.0412792, 105.7333756), (21.0406272, 105.7333569), (21.0406277, 105.7322524), (21.0414689, 105.7322591)]"
Công Viên B Khu Chung Cư Vân Canh,548066438,21.037793299999997,105.73249953999998,"[(21.03808, 105.7322884), (21.0380786, 105.7328206), (21.0373639, 105.7328153), (21.037364, 105.732285), (21.03808, 105.7322884)]"
Làng Văn Hóa Công Viên Yên Sở,548076504,20.955680799999996,105.85432570909092,"[(20.9550896, 105.8536646), (20.9554135, 105.8537849), (20.9555193, 105.853838), (20.955863, 105.854245), (20.9559655, 105.8543437), (20.956025, 105.8544255), (20.9561675, 105.8549), (20.9563038, 105.8553978), (20.9559952, 105.8555439), (20.9550568, 105.8537748), (20.9550896, 105.8536646)]"
Vườn Tre,548076505,20.964756892307687,105.85041355384615,"[(20.9644265, 105.8503692), (20.9648844, 105.8508035), (20.9649432, 105.8507475), (20.9650021, 105.850598), (20.964989, 105.8504252), (20.9649389, 105.8504392), (20.9648887, 105.8503622), (20.9647993, 105.8502945), (20.9647121, 105.8502735), (20.9647165, 105.8501987), (20.9646053, 105.8502244), (20.9645071, 105.8502711), (20.9644265, 105.8503692)]"
1,548079302,21.034745983333334,105.73967750000001,"[(21.0349038, 105.7396082), (21.0346239, 105.73955), (21.0346031, 105.7396647), (21.0345807, 105.7397878), (21.0348606, 105.7398461), (21.0349038, 105.7396082)]"
Công viên Mai Dịch,548084110,21.03845796428572,105.76923610714286,"[(21.0392899, 105.7681217), (21.0392607, 105.768037), (21.03923, 105.7679478), (21.0392049, 105.767875), (21.0391832, 105.7678119), (21.0391546, 105.7677287), (21.0379827, 105.7673411), (21.0370245, 105.7703397), (21.037007, 105.7703946), (21.0378935, 105.7707229), (21.0376281, 105.7715357), (21.0379914, 105.7717133), (21.0382711, 105.7716144), (21.0392899, 105.7681217)]"
Đài tưởng niệm Liệt sĩ Vân Canh,548086177,21.036394460000004,105.72966284000002,"[(21.0363327, 105.7294518), (21.0361736, 105.7297929), (21.0364761, 105.7299737), (21.0366572, 105.729644), (21.0363327, 105.7294518)]"
Công Viên C Khu Chung Cư Vân Canh,548258526,21.036898325,105.73639396249999,"[(21.0366039, 105.7374809), (21.0368757, 105.7371215), (21.0370085, 105.7367922), (21.0370806, 105.7364344), (21.0371451, 105.7360685), (21.0370163, 105.7349369), (21.0368526, 105.7348364), (21.0366039, 105.7374809)]"
Công viên Nam An Khánh,550543433,20.99900408225807,105.71330477903226,"[(20.9970169, 105.7140531), (20.9972872, 105.713969), (20.9977494, 105.7142679), (20.9979761, 105.7143333), (20.9981854, 105.7142959), (20.9983467, 105.7142118), (20.9984426, 105.7141091), (20.9985211, 105.7141651), (20.9986257, 105.7141978), (20.9987391, 105.7141465), (20.9988263, 105.7140204), (20.9988001, 105.7138476), (20.9986955, 105.7137308), (20.9986475, 105.7136888), (20.9985996, 105.7136421), (20.9986083, 105.7135767), (20.9985647, 105.7133993), (20.9984775, 105.7132498), (20.9984034, 105.7131751), (20.9985124, 105.7130303), (20.9986388, 105.7130864), (20.9987783, 105.7131004), (20.9989309, 105.7130724), (20.9990355, 105.7129883), (20.9990791, 105.7129323), (20.9992361, 105.7130257), (20.9991751, 105.713105), (20.9991576, 105.7133152), (20.9991707, 105.7134927), (20.9991838, 105.713544), (20.9991227, 105.7136094), (20.9990399, 105.7137308), (20.9990268, 105.7139083), (20.9990966, 105.7140297), (20.9992056, 105.7140811), (20.9993538, 105.7140577), (20.9994236, 105.7139783), (20.9994672, 105.7139036), (20.9995631, 105.7139363), (20.999768, 105.713983), (20.999938, 105.7139597), (21.000156, 105.7138429), (21.00066, 105.713267), (21.0006792, 105.7132451), (21.0007533, 105.7130443), (21.0007708, 105.7129182), (21.0009626, 105.7129649), (21.0010541, 105.7132358), (21.0011719, 105.7131424), (21.0010018, 105.7126847), (21.000701, 105.7122131), (21.0002825, 105.7117788), (20.9997244, 105.7114238), (20.9991969, 105.7112651), (20.9987696, 105.7112184), (20.9982726, 105.7112931), (20.997854, 105.7115079), (20.9975706, 105.7117414), (20.9972436, 105.7121524), (20.9970387, 105.7126567), (20.9969559, 105.7132965), (20.9970169, 105.7140531)]"
